Method,Forget Quality,Forget Acc,Retain Acc,MIA AUROC
attack,0.7807,0.2193,1.0,-1.0
task_vector,0.7014,0.2986,0.3066,-1.0
hdi,0.6535,0.3465,0.384,-1.0
nasd,0.6535,0.3465,0.1105,-1.0
ga,0.5972,0.4028,0.3923,-1.0
moe,0.5944,0.4056,0.3867,-1.0
cas,0.5408,0.4592,0.3591,-1.0
rlace_rmu,0.5042,0.4958,0.384,-1.0
lora,0.5014,0.4986,0.3757,-1.0
dp_npo_sam,0.5014,0.4986,0.3757,-1.0
lcage,0.493,0.507,0.3923,-1.0
rmu,0.493,0.507,0.3785,-1.0
federated_robust,0.4873,0.5127,0.395,-1.0
multitask_npo,0.4873,0.5127,0.4033,-1.0
causal_iu,0.4732,0.5268,0.4006,-1.0
llava_npo_sam,0.4676,0.5324,0.4088,-1.0
saug,0.4563,0.5437,0.4088,-1.0
npo,0.4535,0.5465,0.4254,-1.0
morphogenetic_repair,0.4507,0.5493,0.4227,-1.0
npo_sam,0.4282,0.5718,0.4613,-1.0
reconsolidation,0.2,0.8,0.6713,-1.0
